imageTL,imageBL,imageTR,imageBR,correct_answer
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_74.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_225.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_14.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_170.jpg,     k
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_94.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_167.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_112.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_70.jpg,     m
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_150.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_192.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_156.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_140.jpg,     z
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_86.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_119.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_216.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_120.jpg,     k
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_17.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_227.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_36.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_48.jpg,     m
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_177.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_104.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_55.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_200.jpg,     a
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_109.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_68.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_154.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_198.jpg,     k
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_82.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_212.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_97.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_209.jpg,     a
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_83.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_228.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_182.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_130.jpg,     a
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_57.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_98.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_213.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_219.jpg,     z
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_219.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_50.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_37.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\natural\natural_131.jpg,     z
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_122.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_91.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_236.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\noise\noise_141.jpg,     m
C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_231.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_179.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_73.jpg, C:\Users\Ram\OneDrive - University of Sussex\Desktop\LZ correlation\LZ_correlation\final_scrambled\scrambled_136.jpg,     k
