imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_scrambled\LZ_scrambled_76.jpg,LZ_scrambled\LZ_scrambled_42.jpg,LZ_scrambled\LZ_scrambled_122.jpg,LZ_scrambled\LZ_scrambled_148.jpg,LZ_scrambled\LZ_scrambled_136.jpg,LZ_scrambled\LZ_scrambled_10.jpg,LZ_scrambled\LZ_scrambled_19.jpg,LZ_scrambled\LZ_scrambled_201.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_202.jpg,0,l,2,22
LZ_noise\LZ_noise_203.jpg,LZ_noise\LZ_noise_234.jpg,LZ_noise\LZ_noise_76.jpg,LZ_noise\LZ_noise_29.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_204.jpg,0,l,3,31
LZ_natural\LZ_natural_42.jpg,LZ_natural\LZ_natural_190.jpg,LZ_natural\LZ_natural_85.jpg,LZ_natural\LZ_natural_128.jpg,LZ_natural\LZ_natural_19.jpg,LZ_natural\LZ_natural_12.jpg,LZ_natural\LZ_natural_213.jpg,LZ_natural\LZ_natural_94.jpg,,,,,,,,,2,LZ_natural\LZ_natural_45.jpg,0,l,1,12
LZ_noise\LZ_noise_240.jpg,LZ_noise\LZ_noise_216.jpg,LZ_noise\LZ_noise_211.jpg,LZ_noise\LZ_noise_93.jpg,LZ_noise\LZ_noise_225.jpg,LZ_noise\LZ_noise_38.jpg,LZ_noise\LZ_noise_67.jpg,LZ_noise\LZ_noise_122.jpg,LZ_noise\LZ_noise_198.jpg,LZ_noise\LZ_noise_143.jpg,LZ_noise\LZ_noise_132.jpg,LZ_noise\LZ_noise_23.jpg,,,,,3,LZ_noise\LZ_noise_71.jpg,0,l,3,33
LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_97.jpg,LZ_natural\LZ_natural_37.jpg,LZ_natural\LZ_natural_110.jpg,LZ_natural\LZ_natural_174.jpg,LZ_natural\LZ_natural_99.jpg,LZ_natural\LZ_natural_58.jpg,LZ_natural\LZ_natural_224.jpg,LZ_natural\LZ_natural_121.jpg,LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_211.jpg,LZ_natural\LZ_natural_154.jpg,,,,,3,LZ_natural\LZ_natural_110.jpg,1,a,1,13
LZ_natural\LZ_natural_113.jpg,LZ_natural\LZ_natural_127.jpg,LZ_natural\LZ_natural_144.jpg,LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_176.jpg,LZ_natural\LZ_natural_10.jpg,LZ_natural\LZ_natural_218.jpg,,,,,,,,,2,LZ_natural\LZ_natural_220.jpg,1,a,1,12
LZ_scrambled\LZ_scrambled_110.jpg,LZ_scrambled\LZ_scrambled_227.jpg,LZ_scrambled\LZ_scrambled_109.jpg,LZ_scrambled\LZ_scrambled_232.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_99.jpg,0,l,2,21
LZ_scrambled\LZ_scrambled_26.jpg,LZ_scrambled\LZ_scrambled_174.jpg,LZ_scrambled\LZ_scrambled_146.jpg,LZ_scrambled\LZ_scrambled_140.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_146.jpg,1,a,2,21
LZ_natural\LZ_natural_169.jpg,LZ_natural\LZ_natural_126.jpg,LZ_natural\LZ_natural_184.jpg,LZ_natural\LZ_natural_151.jpg,LZ_natural\LZ_natural_215.jpg,LZ_natural\LZ_natural_28.jpg,LZ_natural\LZ_natural_216.jpg,LZ_natural\LZ_natural_136.jpg,LZ_natural\LZ_natural_6.jpg,LZ_natural\LZ_natural_14.jpg,LZ_natural\LZ_natural_141.jpg,LZ_natural\LZ_natural_93.jpg,,,,,3,LZ_natural\LZ_natural_136.jpg,1,a,1,13
LZ_noise\LZ_noise_30.jpg,LZ_noise\LZ_noise_205.jpg,LZ_noise\LZ_noise_202.jpg,LZ_noise\LZ_noise_58.jpg,LZ_noise\LZ_noise_80.jpg,LZ_noise\LZ_noise_40.jpg,LZ_noise\LZ_noise_20.jpg,LZ_noise\LZ_noise_56.jpg,LZ_noise\LZ_noise_74.jpg,LZ_noise\LZ_noise_54.jpg,LZ_noise\LZ_noise_62.jpg,LZ_noise\LZ_noise_22.jpg,,,,,3,LZ_noise\LZ_noise_131.jpg,0,l,3,33
